x,y,label
27.493725,20.19423,msdialoge
-20.319696,17.936777,msdialoge
-26.277164,19.526451,msdialoge
-26.523258,20.044563,msdialoge
-1.6057702,16.635208,msdialoge
-6.7700853,15.62189,msdialoge
8.701663,9.348254,msdialoge
-5.0865593,25.165104,msdialoge
-5.599635,21.477846,msdialoge
-30.319412,9.339003,msdialoge
-30.272203,9.389987,msdialoge
-23.164442,20.801598,msdialoge
-25.143673,6.651909,msdialoge
-15.567066,20.221083,msdialoge
2.0153255,6.895255,msdialoge
-18.215733,-2.6138308,msdialoge
-17.281994,-4.8529487,msdialoge
-17.408052,-4.551579,msdialoge
-17.793278,1.1387931,msdialoge
-14.870655,18.294147,msdialoge
-21.794998,-14.251599,msdialoge
-21.861822,-13.903172,msdialoge
-8.316436,10.652981,msdialoge
12.927179,13.377659,msdialoge
-0.5803527,15.852615,msdialoge
-14.713265,12.4372635,msdialoge
-14.78513,11.954573,msdialoge
15.363366,25.631948,msdialoge
5.4870086,-6.609987,msdialoge
4.3375835,-7.5757756,msdialoge
15.813662,-4.0330205,msdialoge
18.560005,-3.5189784,msdialoge
16.406717,-3.1337569,msdialoge
21.475563,-13.005679,msdialoge
4.458621,-11.89054,msdialoge
4.6533933,-11.752477,msdialoge
6.359386,-10.413457,msdialoge
5.602514,-5.6692486,msdialoge
3.7169101,16.71419,msdialoge
-2.1278641,10.9873,msdialoge
-5.789087,-21.951204,msdialoge
20.65008,-2.2403526,msdialoge
28.415817,5.8978486,msdialoge
28.272346,5.7913427,msdialoge
28.218798,7.5125456,msdialoge
29.01903,11.749763,msdialoge
24.905415,14.449511,msdialoge
37.024857,13.651221,msdialoge
28.932234,18.17543,msdialoge
39.990574,19.423111,msdialoge
10.698147,-21.329185,msdialoge
6.9325266,20.270594,msdialoge
-12.797766,16.484192,msdialoge
-12.974693,12.89625,msdialoge
-13.629137,15.145647,msdialoge
-1.9159359,-18.819822,msdialoge
14.574543,19.126072,msdialoge
26.67801,16.018974,msdialoge
22.778812,26.286484,msdialoge
-20.16738,-32.86059,msdialoge
21.718044,11.501396,msdialoge
-30.610422,-19.808332,msdialoge
-12.161244,14.990413,msdialoge
11.285964,-9.004448,msdialoge
-7.9844146,14.3362875,msdialoge
-22.87548,-36.692028,msdialoge
-22.585522,-36.523357,msdialoge
-22.004457,-36.56311,msdialoge
20.930262,16.872215,msdialoge
17.868357,0.72646314,msdialoge
17.794971,0.8583212,msdialoge
-28.496965,-36.74747,msdialoge
0.8370003,12.877212,msdialoge
11.695508,4.7116265,msdialoge
-6.2249775,-17.523783,msdialoge
31.90475,17.753765,msdialoge
-18.48382,-30.927052,msdialoge
31.655605,19.887062,msdialoge
24.812197,16.0554,msdialoge
37.34254,16.480967,msdialoge
36.87533,16.715141,msdialoge
37.618275,16.765583,msdialoge
-29.09625,-21.157148,msdialoge
-9.812102,5.581767,msdialoge
-5.799472,21.604855,msdialoge
8.371982,-23.833908,msdialoge
-18.210752,5.1044426,msdialoge
-19.081003,9.326621,msdialoge
-33.476185,15.547786,msdialoge
-4.7931824,-1.026199,msdialoge
-25.08121,-5.833498,msdialoge
21.491323,6.4917393,msdialoge
-15.615943,13.225843,msdialoge
35.37925,7.1291666,msdialoge
28.176739,20.8847,msdialoge
-13.651667,8.619096,msdialoge
32.98163,15.150115,msdialoge
7.749256,-29.569376,msdialoge
30.60186,-2.4215362,msdialoge
38.7196,11.664976,msdialoge
27.21261,25.816864,msdialoge
23.10465,11.667461,msdialoge
-10.068884,-2.6881208,msdialoge
-33.045116,-11.41101,msdialoge
33.069164,8.8821,msdialoge
35.01004,8.0811,msdialoge
-3.952343,-12.20203,msdialoge
-14.173203,6.0048504,msdialoge
-28.439669,-3.7754588,msdialoge
-28.071762,-4.0403256,msdialoge
25.636723,20.274687,msdialoge
-10.9642725,11.612406,msdialoge
3.25039,7.7569814,msdialoge
30.913258,-0.36939096,msdialoge
12.860835,-22.184914,msdialoge
6.505763,-0.78992116,msdialoge
16.072569,26.833567,msdialoge
3.5573,4.7157726,msdialoge
-16.043396,16.301256,msdialoge
23.895197,-20.746208,msdialoge
37.42461,11.421632,msdialoge
38.052387,14.129511,msdialoge
0.34877682,10.1870365,msdialoge
15.912333,-16.073317,msdialoge
15.901383,-15.686127,msdialoge
-29.87221,-10.251889,msdialoge
31.884136,21.547709,msdialoge
30.03106,20.446964,msdialoge
-17.368418,-6.921372,msdialoge
-27.147383,-9.138617,msdialoge
-6.812167,-16.029024,msdialoge
-37.782856,-13.089662,msdialoge
28.254131,15.577378,msdialoge
29.883062,6.7160373,msdialoge
-4.3768272,-18.758137,msdialoge
35.58078,14.713969,msdialoge
27.92207,12.2486315,msdialoge
19.201984,5.46879,msdialoge
29.614462,11.966021,msdialoge
-32.933186,-12.478495,msdialoge
18.465689,4.463338,msdialoge
19.212864,4.7754145,msdialoge
30.862783,17.261644,msdialoge
-4.7341704,8.583041,msdialoge
-2.8210163,10.355424,msdialoge
13.138342,-25.085629,msdialoge
-26.93877,-13.040279,msdialoge
34.6792,26.229393,msdialoge
22.611763,7.989465,msdialoge
28.637611,-2.5893803,msdialoge
5.532229,-5.560656,msdialoge
1.665683,15.259756,msdialoge
-26.520906,-12.281622,msdialoge
18.77085,9.450865,msdialoge
-11.802837,21.978289,msdialoge
27.777075,17.250269,msdialoge
28.181538,9.913409,msdialoge
-36.831524,-17.061611,msdialoge
-38.918373,2.6135118,msdialoge
-3.3328345,21.552984,msdialoge
-9.862107,18.652817,msdialoge
23.048851,16.954336,msdialoge
30.686226,-1.390877,msdialoge
-18.991713,-33.542576,msdialoge
23.533623,17.30014,msdialoge
-20.9098,-18.1662,msdialoge
8.575901,-24.945616,msdialoge
-4.411302,-17.074574,msdialoge
21.419998,14.8380375,msdialoge
-29.05935,-2.6571336,msdialoge
-27.455425,-35.56738,msdialoge
-29.422274,-35.934196,msdialoge
29.992544,5.240171,msdialoge
-22.057291,-23.500837,msdialoge
38.32321,22.714676,msdialoge
37.703312,22.323969,msdialoge
-6.469672,10.296441,msdialoge
34.066124,16.695084,msdialoge
35.103157,17.229952,msdialoge
-21.967512,-12.391376,msdialoge
-9.991501,25.093727,msdialoge
-10.011919,25.10679,msdialoge
-26.640863,-18.798262,msdialoge
-25.627266,-17.984268,msdialoge
-12.718683,-0.033447556,msdialoge
19.277435,-13.979951,msdialoge
31.442207,14.388199,msdialoge
-4.551218,-15.4937725,msdialoge
-26.565424,-31.79186,msdialoge
16.682983,-2.0895925,msdialoge
10.729267,-26.09929,msdialoge
29.95896,18.049477,msdialoge
-13.068226,1.1857984,msdialoge
